fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-14;VA;70-79;987;1069;2056
2020-10-14;CyL;70-79;5136;5272;10408
2020-10-14;SO;>80;445;792;1237
2020-10-14;VA;>80;988;1982;2970
2020-10-14;SO;0-9;160;146;306
2020-10-14;AV;10-19;254;237;491
2020-10-14;SE;10-19;368;334;702
2020-10-14;VA;10-19;975;969;1944
2020-10-14;ZA;10-19;187;181;368
2020-10-14;AV;20-29;316;383;699
2020-10-14;BU;20-29;1077;1223;2300
2020-10-14;LE;20-29;868;1016;1884
2020-10-14;VA;20-29;1294;1480;2774
2020-10-14;ZA;20-29;206;245;451
2020-10-14;AV;30-39;435;582;1017
2020-10-14;LE;30-39;1010;1506;2516
2020-10-14;SE;30-39;591;768;1359
2020-10-14;SO;30-39;306;416;722
2020-10-14;VA;30-39;1539;1982;3521
2020-10-14;ZA;30-39;265;363;628
2020-10-14;AV;40-49;625;811;1436
2020-10-14;SO;40-49;433;611;1044
2020-10-14;CyL;40-49;9295;12347;21642
2020-10-14;BU;50-59;1433;1956;3389
2020-10-14;LE;50-59;1371;1987;3358
2020-10-14;PA;50-59;603;766;1369
2020-10-14;SA;50-59;1495;2136;3631
2020-10-14;SE;50-59;954;1418;2372
2020-10-14;VA;50-59;1698;2374;4072
2020-10-14;ZA;50-59;421;605;1026
2020-10-14;AV;60-69;534;606;1140
2020-10-14;PA;60-69;501;530;1031
2020-10-14;SA;60-69;1154;1293;2447
2020-10-14;VA;60-69;1311;1608;2919
2020-10-14;SA;70-79;798;875;1673
2020-10-14;SO;70-79;238;217;455
2020-10-14;ZA;70-79;268;262;530
2020-10-14;BU;>80;791;1427;2218
2020-10-14;LE;>80;1061;1984;3045
2020-10-14;PA;>80;343;621;964
2020-10-14;SA;>80;1045;1912;2957
2020-10-14;SE;>80;728;1200;1928
2020-10-14;ZA;>80;358;600;958
2020-10-14;CyL;>80;6264;11376;17640
2020-10-13;BU;0-9;796;675;1471
2020-10-13;SO;0-9;159;144;303
2020-10-13;VA;0-9;1082;916;1998
2020-10-13;CyL;0-9;4479;3990;8469
2020-10-13;BU;10-19;821;713;1534
2020-10-13;SA;10-19;658;675;1333
2020-10-13;SO;10-19;156;143;299
2020-10-13;ZA;10-19;182;178;360
2020-10-13;CyL;10-19;4344;4110;8454
2020-10-13;SE;20-29;455;581;1036
2020-10-13;BU;30-39;1271;1539;2810
2020-10-13;LE;30-39;994;1493;2487
2020-10-13;SO;30-39;306;414;720
2020-10-13;CyL;30-39;6907;9129;16036
2020-10-13;BU;40-49;1650;1936;3586
2020-10-13;LE;40-49;1424;2044;3468
2020-10-13;SA;50-59;1485;2121;3606
2020-10-13;VA;50-59;1681;2336;4017
2020-10-13;ZA;50-59;417;602;1019
2020-10-13;CyL;50-59;8919;12700;21619
2020-10-13;AV;60-69;530;602;1132
2020-10-13;PA;60-69;492;523;1015
2020-10-13;SE;60-69;804;860;1664
2020-10-13;LE;70-79;913;861;1774
2020-10-13;SO;70-79;237;217;454
2020-10-13;BU;>80;779;1414;2193
2020-10-13;LE;>80;1050;1967;3017
